text,author,display_name,date,likes,quotes,replies,reposts,uri,url,reply_to,reply_to_uri,reply_to_url,query
unalive,ninochuu.zip,nino,2025-04-12T20:19:42.329Z,154,0,0,29,at://did:plc:75rnvxji6taq2xyxq63ejhmm/app.bsky.feed.post/3lmne72jmws2d,https://bsky.app/profile/did:plc:75rnvxji6taq2xyxq63ejhmm/post/3lmne72jmws2d,No,,,unalive
We should unalive Caesar?,doktorslek.bsky.social,Doktor Slek 🦘☭,2025-04-15T02:50:06.393Z,10,0,0,0,at://did:plc:g7cu7736qmemcopvjip74g3b/app.bsky.feed.post/3lmt2wyd5q22a,https://bsky.app/profile/did:plc:g7cu7736qmemcopvjip74g3b/post/3lmt2wyd5q22a,Yes,at://did:plc:awzzrtrcrvpnxi3ph2sbhxwv/app.bsky.feed.post/3lmt2lhdlwk2l,https://bsky.app/profile/did:plc:awzzrtrcrvpnxi3ph2sbhxwv/post/3lmt2lhdlwk2l,unalive
You ever chill so hard that you appear unalive??,laminatedliss.bsky.social,Churro’s Mom,2025-04-11T15:57:19.608Z,40,1,7,1,at://did:plc:kvyauj6dn35wre6meqyg6ync/app.bsky.feed.post/3lmkf2xlja22o,https://bsky.app/profile/did:plc:kvyauj6dn35wre6meqyg6ync/post/3lmkf2xlja22o,No,,,unalive
"Musk can unalive any of us and cut off all means of support 
If they can unalive these 6000",iputadollarin.bsky.social,Iputadollariniwinacar,2025-04-12T23:12:34.756Z,7,0,2,0,at://did:plc:icoabg5urmotmxr3cko3qfsi/app.bsky.feed.post/3lmnnu6fchs26,https://bsky.app/profile/did:plc:icoabg5urmotmxr3cko3qfsi/post/3lmnnu6fchs26,Yes,at://did:plc:q3bbdtxch45wvfxrxpblphxn/app.bsky.feed.post/3lmnh3qmq5c2h,https://bsky.app/profile/did:plc:q3bbdtxch45wvfxrxpblphxn/post/3lmnh3qmq5c2h,unalive
"That happened the moment we let these companies forced creators and content-makers to use the word ""unalive"". FUCK THAT! People die, people get killed, people commit suicide. Use words. Don't pander to that nonsense.",jayej330.bsky.social,"Jayleigh ""Jaye"" Jimenez",2025-04-14T08:57:07.765Z,29,0,1,0,at://did:plc:r6coggh5qqmqrqvrpitb7khu/app.bsky.feed.post/3lmr6ye3esc2m,https://bsky.app/profile/did:plc:r6coggh5qqmqrqvrpitb7khu/post/3lmr6ye3esc2m,Yes,at://did:plc:uqppyrcon566pkrszusjonav/app.bsky.feed.post/3lmr67dl25c2s,https://bsky.app/profile/did:plc:uqppyrcon566pkrszusjonav/post/3lmr67dl25c2s,unalive
I’d unalive myself,emperorlexi5.bsky.social,Emperor Alexis🏳️‍⚧️,2025-04-14T15:35:55.494Z,5,0,0,0,at://did:plc:3mu7lqx2mveotheftis5xrfd/app.bsky.feed.post/3lmrvbhdpnk24,https://bsky.app/profile/did:plc:3mu7lqx2mveotheftis5xrfd/post/3lmrvbhdpnk24,Yes,at://did:plc:5foqpamtsdc6fbwipu2eir7s/app.bsky.feed.post/3lmrv6hk32s2j,https://bsky.app/profile/did:plc:5foqpamtsdc6fbwipu2eir7s/post/3lmrv6hk32s2j,unalive
I’m really concerned that he is unalive.,onecaliberal.bsky.social,💙abcdef,2025-04-12T02:00:31.182Z,10,0,0,0,at://did:plc:ntmsgipllqrkrupxn3smmgyg/app.bsky.feed.post/3lmlgrkkoak2v,https://bsky.app/profile/did:plc:ntmsgipllqrkrupxn3smmgyg/post/3lmlgrkkoak2v,Yes,at://did:plc:ca5og5dzdlmoedpdbpbtkkeo/app.bsky.feed.post/3lmlfrjacls2z,https://bsky.app/profile/did:plc:ca5og5dzdlmoedpdbpbtkkeo/post/3lmlfrjacls2z,unalive
His father would unalive this moron.,safarilady2025.bsky.social,,2025-04-14T14:34:01.799Z,7,0,0,2,at://did:plc:chy4urwfir5gcgagapeu2voc/app.bsky.feed.post/3lmrrsropfk2i,https://bsky.app/profile/did:plc:chy4urwfir5gcgagapeu2voc/post/3lmrrsropfk2i,Yes,at://did:plc:vrps533rrs2nbq636qbwn2vd/app.bsky.feed.post/3lmrpkvfibs25,https://bsky.app/profile/did:plc:vrps533rrs2nbq636qbwn2vd/post/3lmrpkvfibs25,unalive
">the minecraft movie features a character unironically saying ""unalive""",voicesbyzane.bsky.social,Zane Schacht - Voice Goblin,2025-04-09T13:46:56.708Z,294,1,12,18,at://did:plc:wiw2flcb762ybvhg7gj3bf2k/app.bsky.feed.post/3lmf4ty6oxc2a,https://bsky.app/profile/did:plc:wiw2flcb762ybvhg7gj3bf2k/post/3lmf4ty6oxc2a,No,,,unalive
Why do tourists insist on picking up and handling the wildlife. Do that with the wrong critter in Australia and it’ll be the end of you. They have more shit that’ll unalive you than anywhere else in earth.,gingersnapz.bsky.social,My Flabbers Are Gasted!!,2025-04-15T04:59:30.134Z,13,0,1,0,at://did:plc:uqfjrpikgbri6xxcygyyugju/app.bsky.feed.post/3lmtc6efqzk27,https://bsky.app/profile/did:plc:uqfjrpikgbri6xxcygyyugju/post/3lmtc6efqzk27,Yes,at://did:plc:zrq6g77ftuyleidpdoiqo3fr/app.bsky.feed.post/3lmsckijh322e,https://bsky.app/profile/did:plc:zrq6g77ftuyleidpdoiqo3fr/post/3lmsckijh322e,unalive
